Accession	Submission	Status	Updated	Published	Received	Type	Center	Visibility	Alias	Experiment	Sample	Study	Loaded	Spots	Bases	Md5sum	BioSample	BioProject	ReplacedBy
DRZ000001	DRA000072	live	2015-02-02T07:44:00Z	2015-02-02T07:44:00Z	2010-01-15T07:53:09Z	ANALYSIS	NIID	public	DRZ000001	-	-	DRP000072	1	-	-	60c992315d3082d84eab7b5185e6695f	-	PRJDA43375	-
DRZ000002	DRA000161	live	2014-07-31T17:49:08Z	2014-02-25T02:39:42Z	2010-04-15T08:37:55Z	ANALYSIS	NIG	public	DRZ000002	-	-	-	1	-	-	95cf4f34d89b50209ec0eadfd4a43be0	-	-	-
DRZ000003	DRA000195	live	2014-07-31T17:53:08Z	2010-11-30T03:31:53Z	2010-06-21T05:14:07Z	ANALYSIS	NIID	public	DRZ000003	-	-	-	1	-	-	ff0ab3f801743cd9f57d028b2677cd02	-	-	-
DRZ000004	DRA000213	live	2014-07-31T17:55:09Z	2011-06-30T04:00:00Z	2010-08-06T09:33:04Z	ANALYSIS	NIES	public	DRZ000004	-	-	-	1	-	-	305f3f8866f1f4a0fc8cee8643fdee58	-	-	-
DRZ000005	DRA000214	live	2014-07-31T17:55:09Z	2011-06-30T04:00:00Z	2010-08-06T09:33:03Z	ANALYSIS	NIES	public	DRZ000005	-	-	-	1	-	-	904151500590190f5b0ea14feb3c6475	-	-	-
DRZ000007	DRA000311	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T14:54:32Z	ANALYSIS	KAZUSA	public	DRZ000007	-	-	-	0	-	-	646102cc2e18d79dbeb707857a2baf45	-	-	-
DRZ000006	DRA000367	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:41Z	ANALYSIS	NIID	public	DRZ000006	-	-	-	0	-	-	ebd0433b124d3d2f112cb88b8a376c5e	-	-	-
DRZ000008	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:54Z	ANALYSIS	RIKEN_OSC	public	DRZ000008	-	-	-	0	-	-	a0aa620fe4283987086c4a24117127ce	-	-	-
DRZ000009	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:54Z	ANALYSIS	RIKEN_OSC	public	DRZ000009	-	-	-	0	-	-	51d1fc75399c0910fa7468dede36e011	-	-	-
DRZ000010	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:55Z	ANALYSIS	RIKEN_OSC	public	DRZ000010	-	-	-	0	-	-	e6ee82a8bc4c9e4f26d1d7af38de54d8	-	-	-
DRZ000011	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:55Z	ANALYSIS	RIKEN_OSC	public	DRZ000011	-	-	-	0	-	-	c0c2a55e1f3076b4c6338702025ccc1c	-	-	-
DRZ000012	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:55Z	ANALYSIS	RIKEN_OSC	public	DRZ000012	-	-	-	0	-	-	ea2d77e7c47d317d987f525fd0f0f399	-	-	-
DRZ000013	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:55Z	ANALYSIS	RIKEN_OSC	public	DRZ000013	-	-	-	0	-	-	89132853d73faa26e9ad685537ad8df4	-	-	-
DRZ000014	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:55Z	ANALYSIS	RIKEN_OSC	public	DRZ000014	-	-	-	0	-	-	cd3bedfca70d7e49178055c0cd858a93	-	-	-
DRZ000015	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:55Z	ANALYSIS	RIKEN_OSC	public	DRZ000015	-	-	-	0	-	-	10b4867ac45607bbeea48812bc67b7c2	-	-	-
DRZ000016	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:55Z	ANALYSIS	RIKEN_OSC	public	DRZ000016	-	-	-	0	-	-	efedf0f80f48894ad108738a82526c9e	-	-	-
DRZ000017	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:55Z	ANALYSIS	RIKEN_OSC	public	DRZ000017	-	-	-	0	-	-	a59b7b60ddb288557eaba6923c54c73f	-	-	-
DRZ000018	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:55Z	ANALYSIS	RIKEN_OSC	public	DRZ000018	-	-	-	0	-	-	bb9cc1a80628f48521a3080d40428334	-	-	-
DRZ000019	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:55Z	ANALYSIS	RIKEN_OSC	public	DRZ000019	-	-	-	0	-	-	53767ee6c83d22c82f55c0c6da81706f	-	-	-
DRZ000020	DRA000368	live	2015-10-26T23:27:24Z	2014-05-14T16:40:27Z	2014-04-10T15:01:55Z	ANALYSIS	RIKEN_OSC	public	DRZ000020	-	-	-	0	-	-	18cc57e4fd8400d9881217e816fcca7c	-	-	-
